% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
0.39213,-0.0613,-0.19795,0.02451,0.02715,-0.06589,-0.07455,10.0,-0.1912,-0.20261,-0.18778,-0.07682,0.09426,-10.0,0.37682,0.0301,0.13713,-0.35263,0.12231,-0.231,0.14575,-0.08003,0.135,0.189,0.0146,-0.05405,0.01332,-0.02168,-10.0,-0.10695,5
3.63614,10.0,-0.13862,-0.04089,10.0,0.22772,-0.67261,-10.0,-0.12355,-2.2654,-10.0,0.84226,1.1096,10.0,-0.19529,-1.17382,10.0,-1.95656,0.62832,-10.0,0.12398,0.23982,10.0,1.44897,0.08322,-10.0,0.64581,0.74226,10.0,0.4391,5
1.74919,-10.0,-0.01864,-0.1941,10.0,0.13988,0.10746,0.28073,-0.01584,-0.9361,10.0,0.5521,0.2196,10.0,0.58825,0.29631,-10.0,-0.66863,0.25443,-10.0,0.26065,0.36688,-10.0,0.27223,-0.13824,10.0,-0.03061,0.40101,-10.0,0.01291,5
0.86238,-10.0,-0.00289,-0.08823,10.0,0.02702,-0.37945,-10.0,-0.15271,-0.63286,10.0,0.43971,-0.03273,10.0,-0.04059,-0.31013,10.0,-0.44935,0.27949,-10.0,0.02803,-0.06267,-0.15768,0.02652,-0.00683,10.0,-0.04864,0.27922,-10.0,0.27834,5
3.22893,10.0,0.07344,-0.04982,-10.0,0.10449,0.3534,10.0,-0.41685,-1.5644,10.0,1.17613,1.00866,10.0,0.95297,0.26918,10.0,-1.10459,0.24182,-10.0,0.77518,0.3775,-10.0,1.09243,-0.014,10.0,0.4863,0.83488,-10.0,0.16597,5
0.95834,-0.19463,-0.30089,0.033,-0.04016,-0.07507,-0.18275,0.3148,-0.20886,-0.4103,10.0,-0.25736,0.18785,-0.38826,0.50631,0.06656,-10.0,-0.4297,0.12134,-10.0,-0.04364,0.00296,-0.18256,0.2409,-0.02848,10.0,-0.0817,0.08582,-10.0,-0.02382,5
0.8343,-10.0,-0.14092,0.08496,10.0,-0.05589,-0.22152,-10.0,-0.05205,-0.23761,-10.0,0.03368,0.04884,-0.32267,0.18856,-0.23478,10.0,-0.25006,0.31559,10.0,-0.1052,-0.03396,-10.0,0.22352,-0.01894,10.0,-0.02256,0.07323,-10.0,0.03042,5
1.49862,-10.0,0.11221,-0.15101,10.0,0.25123,0.28004,10.0,0.05841,-0.95869,10.0,0.66728,0.30187,-10.0,-0.09796,-0.20569,-10.0,-0.38302,0.17815,10.0,0.34204,0.17736,-10.0,0.42146,-0.04104,10.0,0.01261,0.26992,-10.0,0.07998,5
6.78754,-10.0,-0.629,-0.2091,-10.0,-0.07528,-0.9742,10.0,0.01618,-4.15617,10.0,1.55866,1.1117,-10.0,0.49509,-0.15962,10.0,-4.12826,-0.17293,-10.0,0.78199,-0.00672,-10.0,2.12907,-0.84573,-10.0,1.07362,1.27172,10.0,0.06271,5
0.80842,-10.0,0.1537,-0.0285,10.0,0.29995,0.32734,-10.0,-0.10398,-0.54662,-0.10184,0.72395,0.13593,10.0,0.30116,0.1352,10.0,0.30584,0.18662,-10.0,-0.10579,-0.02151,10.0,0.06142,-0.10103,-10.0,-0.31156,0.10468,10.0,0.09558,5
